,channelTitle,view_count,Likes,Dislikes,Comments,Response_Percentage,LikesPercentage,DislikesPercentage,CommentsPercentage
0,#TeamTrees,809044,56071,444,3770,6.985404996514404,6.9305254102372675,0.05487958627713697,0.4659820726684828
1,(G)I-DLE (여자)아이들 (Official YouTube Channel),45121844,1136612,34211,169469,2.594803084732087,2.5189839315964124,0.07581915313567415,0.37558083840722467
2,10 News First,4745924,46289,5489,15091,1.0909993501792274,0.9753422094411963,0.1156571407380312,0.31797812185783
3,10 Tampa Bay,355723,843,95,302,0.2636883192821381,0.23698214622051428,0.026706173061623793,0.08489751857484616
4,100 Thieves,2665623,165707,2055,11238,6.293538133486994,6.216445461342433,0.07709267214456057,0.4215899997861663
5,11Alive,1595011,11633,1819,9828,0.8433797635251419,0.7293366628819488,0.11404310064319306,0.6161712991321063
6,1804 Jackboy,4675701,188587,2843,11468,4.094145455408718,4.033341738490122,0.060803716918596803,0.2452680357448006
7,1Rod1ReelFishing,396386,23213,464,4270,5.973218024854561,5.856160409298007,0.11705761555655346,1.0772327983329382
8,1theK (원더케이),53006537,4448491,39816,541319,8.467459400337736,8.392344136724118,0.07511526361361807,1.0212306455711302
9,2 Danny 2 Furious,3057323,291694,1730,23633,9.597415778444084,9.54083032770826,0.05658545073582347,0.7729965070749804
10,2020 Democratic National Convention,2925664,57134,40335,14228,3.331517221389743,1.952855830334584,1.3786613910551588,0.48631695232261807
11,20th Century Studios,9227183,98442,3158,9311,1.1010944510366816,1.0668694876865452,0.03422496335013622,0.10090837040947383
12,21 Savage,17466067,949109,11463,45131,5.499646829477982,5.434016713665418,0.06563011581256387,0.2583924589319393
13,21SavageVEVO,1929360,129214,1751,5626,6.788002239084463,6.697246755400755,0.09075548368370859,0.2915992868101339
14,22Gz,1259329,52400,917,3306,4.2337625830898835,4.160946027606765,0.0728165554831184,0.2625207551005337
15,24 Frames Of Nick,710774,42889,479,2354,6.101517500640147,6.03412617794123,0.06739132269891696,0.3311882539316295
16,24KGoldnVEVO,3987298,151969,2724,8556,3.879644812100826,3.811327871656445,0.06831694044438114,0.2145814032460077
17,2ChainzVEVO,2318623,90342,3719,6465,4.056761275981477,3.896364350737485,0.1603969252439918,0.27882928790062034
18,2HYPE,7574195,427549,7528,74462,5.744201198939293,5.644811098737225,0.09939010020206768,0.9831011744482417
19,2KBABY,975417,29173,397,2759,3.031523953345082,2.990823411935613,0.04070054140946897,0.28285338475749344
20,30deep grimeyy,625852,40108,368,1855,6.467343717044924,6.408543872992337,0.058799844052587515,0.2963959530368202
21,360juice,593449,32311,1218,444,5.6498536521251195,5.444612763691572,0.20524088843354693,0.07481687558661317
22,394th District Court of Texas - Live Stream,10364460,125719,2391,10132,1.236050889288974,1.2129816700532396,0.023069219235734423,0.0977571431603769
23,3C Films,894239,21397,843,2929,2.4870308720599303,2.392760772008378,0.09427010005155222,0.3275410712348712
24,42 dugg Music,4254842,79019,1464,3179,1.8915626009144406,1.8571547427613058,0.03440785815313471,0.07471487777924539
25,42DuggVEVO,9591722,276086,6372,11510,2.944810118558482,2.878377834553587,0.06643228400489505,0.1199993077364002
26,4baadimh01,1951490,39330,1155,2261,2.074568662919103,2.0153831175153343,0.0591855454037684,0.11586018888131633
27,5-Minute Crafts FAMILY,89075984,2293772,97541,13435,2.6845765745343884,2.5750734339347856,0.10950314059960314,0.015082628781288568
28,50 Cent,4231468,237880,3014,19395,5.692917918793194,5.621689683107612,0.0712282356855824,0.45835156971528557
29,5911 Records,20896765,1146139,54130,3431431,5.743802928348,5.484767618337097,0.2590353100109036,16.420871843081933
30,60 Minutes,22710546,340055,131123,204134,2.0747101368676915,1.4973440092545551,0.5773661276131362,0.8988511328613588
31,60 Minutes Australia,546526,6243,2978,0,1.6872024386762936,1.1423061299919857,0.5448963086843078,0.0
32,6abc Philadelphia,1024771,10780,805,7722,1.1304964718946964,1.0519423363853972,0.07855413550929916,0.7535342042270907
33,6ix9ine - Topic,1088373,46290,3493,3278,4.574075248099686,4.253137481359791,0.3209377667398952,0.3011835096975026
34,7NEWS Australia,1827291,12043,1168,4533,0.7229828199230446,0.6590630611106825,0.06391975881236213,0.2480721461442102
35,8-BitRyan,2603033,191683,1689,41448,7.428718729266975,7.363832882641135,0.06488584662583993,1.5922963711946794
36,876TV,425024,0,0,0,0.0,0.0,0.0,0.0
37,88rising,12118792,871910,8565,42476,7.2653693536451485,7.194693992602563,0.07067536104258576,0.35049698022707215
38,9 News Australia,1153800,11089,1443,0,1.0861501126711735,0.9610851100710696,0.125065002600104,0.0
39,90 Day Fiancé,2215949,28481,1100,8581,1.3349133937649287,1.2852732621554015,0.04964013160952711,0.3872381539466838
40,9LILG,2501612,107219,3300,8017,4.417911330773917,4.285996389528032,0.13191494124588465,0.3204733587782598
41,9NEWS,1535015,8306,406,3301,0.5675514571518845,0.5411022042129882,0.026449252938896363,0.21504675850073127
42,9lokknine,955789,50759,383,3772,5.350762563703913,5.310690957941554,0.040071605762359686,0.3946477726778609
43,9to5Mac,757889,10381,386,989,1.4206565869144425,1.369725645839958,0.05093094107448452,0.13049404332296682
44,A Boogie Wit da Hoodie,4563370,237483,1896,11184,5.245662744857419,5.204114503097491,0.04154824175992742,0.24508203367248327
45,A Sneaker Life,2545385,64709,77274,18766,5.578055971886375,2.542208742488857,3.0358472293975174,0.7372558571689548
